epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate,seconds
1,1.2901219669160293,0.5623979472824819,0.9983052611351013,0.6575725778244141,0.6553473636660433,0.0001,192.0709699999934
2,0.7165323417309645,0.7586890599486821,0.8607102036476135,0.7152850647079398,0.7143830792610091,0.0001,256.1791912999979
3,0.5066776305527462,0.8306508047585724,0.8235728144645691,0.7310248338579923,0.7299983169570735,0.0001,364.56712840000546
4,0.3525817441181172,0.8861674830884068,0.8809724450111389,0.7422175585869185,0.743583550176313,0.0001,349.8232510000016
5,0.1366990655048003,0.9584791229297878,0.9864808320999146,0.7551591465547394,0.7539784919568966,0.0001,396.94284789999995
6,0.09556028838368258,0.9689759738745043,1.0522657632827759,0.7502623294858342,0.7505630257543865,0.0001,373.16748529999995
7,0.2981374473359887,0.8998133893165384,0.8698659539222717,0.7632039174536551,0.7638460601526671,0.0001,367.24700600000006
8,0.1992353674468389,0.9304875204105435,0.9325813055038452,0.7597061909758657,0.7588995878529643,0.0001,363.4770312999999
9,0.15677619945663712,0.946815955213436,0.9845362901687622,0.7621545995103183,0.7614198460849606,0.0001,362.4949753000001
10,0.12771993441711862,0.9573128061581525,0.9668349623680115,0.7719482336481287,0.7717775766443761,0.0001,364.4900292000002
11,0.12794816538479492,0.9578959645439702,0.9639514684677124,0.7775445960125918,0.776440080739133,0.0001,354.7624831999997
12,0.10456165374724395,0.9654770235595987,1.0028380155563354,0.7708989157047919,0.7711162921119502,0.0001,355.160445
13,0.103503749221181,0.9659435502682528,0.9995089769363403,0.7911857292759706,0.7899246554858166,0.0001,358.8287722
14,0.0936818409459989,0.9669932353627245,1.0873749256134033,0.7684505071703392,0.7672637935131464,0.0001,372.88839129999997
15,0.09990462275834136,0.9680429204571962,1.110942006111145,0.7548093739069605,0.7555344886694724,0.0001,383.4902726999999
16,0.36010821886702826,0.8978767597507501,0.40214207768440247,0.8878239261625843,0.8899221824998282,0.0001,210.5541490630003
17,0.19124746920329,0.9394184168012925,0.37327858805656433,0.9077032303869365,0.9086516952123883,0.0001,144.47616875600033
18,0.14519192065167533,0.9523424878836834,0.40115293860435486,0.9041533546325878,0.9051120320099841,0.0001,144.11004720599976
19,0.12163404098647641,0.9607662127855989,0.3987024426460266,0.9002484913028044,0.9016798533011133,0.0001,154.64293735000047
20,0.11505465750437864,0.9622663281790907,0.4013816714286804,0.9006034788782392,0.9026566724268852,0.0001,143.95636111099975
21,0.10878043728559253,0.9615739672282483,0.45321595668792725,0.8856940007099752,0.8873419782213652,0.0001,141.81325203699998
22,0.08203479304768707,0.9712670205400415,0.5043486952781677,0.8746893858714945,0.8768935885312044,0.0001,143.7695222960001
23,0.07774956955278055,0.9735748903761828,0.47019439935684204,0.8913738019169329,0.8932232637713386,0.0001,141.50256310399982
24,0.0729613630189209,0.9766905146549735,0.4870350658893585,0.88604898828541,0.8874172868853292,0.0001,146.06287109499954
25,0.07490392671345619,0.9740364643434111,0.5279138684272766,0.8824991125310614,0.8843784501883543,0.0001,142.644310658
26,0.07554209004196055,0.9736902838679898,0.5361852049827576,0.8789492367767128,0.8802130474806031,0.0001,145.74629256699973
27,0.07349177241366646,0.9753057927532888,0.5223056077957153,0.8839190628328009,0.8853309317576306,0.0001,143.70476571499967
28,0.06757123829199815,0.975882760212324,0.533396303653717,0.8824991125310614,0.8846964794433523,0.0001,146.59423795699968
29,0.06613090185213386,0.9800369259173782,0.534275472164154,0.8842740504082357,0.8861752790364938,0.0001,144.76311710799928
30,0.06567681439568243,0.9777290560812371,0.5553510189056396,0.883564075257366,0.8854824254900511,0.0001,143.67242292799983
31,0.06077258767052443,0.9781906300484653,0.5726456642150879,0.8778842740504083,0.8788668201289138,0.0001,145.34374653299983
32,0.06776543786870039,0.9778444495730441,0.5488162636756897,0.8821441249556266,0.8842864537069153,0.0001,141.05254233599953
33,0.05429625919732673,0.9823447957535195,0.5703577995300293,0.8800141995030174,0.8816884713013421,0.0001,145.05276374500045
34,0.046913431772948024,0.9822294022617124,0.7239710092544556,0.8594249201277955,0.8615756539071077,0.0001,154.0107224659996
35,0.062384457997599445,0.9787675975075005,0.6158843040466309,0.8764643237486688,0.8793051697087918,0.0001,144.1106262940002
36,0.0579875207876027,0.9802677129009923,0.6445217728614807,0.8672346467873624,0.8702901860730201,0.0001,153.99512113699984
37,0.05507680835980839,0.9821140087699054,0.5791851282119751,0.8842740504082357,0.8870956860438465,0.0001,144.3886033560002
38,0.04541421594120134,0.9843064851142396,0.6776187419891357,0.8544550940717075,0.8553489560412724,5e-05,143.04338168100003
39,0.035748399902456894,0.9870759289176091,0.5698190927505493,0.8757543485977991,0.8771909356609673,5e-05,142.20629381199979
40,0.021508111487052037,0.9923840295407339,0.6141056418418884,0.8782392616258431,0.8793286808901343,5e-05,142.93460198000048
41,0.022986373172661546,0.9915762750980844,0.5974608063697815,0.8853390131345403,0.8874459276635651,5e-05,141.17017414600014
42,0.022151596601693507,0.9919224555735057,0.6173011660575867,0.8839190628328009,0.8857565532219466,5e-05,145.15359332800017
43,0.016616011928799638,0.9935379644588045,0.6393102407455444,0.8789492367767128,0.880546409616559,5e-05,142.91628922899872
44,0.02626709914124665,0.9907685206554351,0.6480951905250549,0.8778842740504083,0.8798951480973823,5e-05,144.62434728199878
45,0.01685329269340097,0.9942303254096468,0.6549016237258911,0.8785942492012779,0.8799285397699903,5e-05,142.59738907099927
46,0.021247260805117102,0.9923840295407339,0.6346415877342224,0.8771742988995385,0.8786235914736725,5e-05,146.55924218499968
47,0.02368278085775785,0.990653127163628,0.651718020439148,0.8789492367767128,0.8798562209433296,5e-05,155.2472867180004
48,0.023185381540517497,0.9927302100161551,0.6175993084907532,0.8800141995030174,0.8818778601682175,5e-05,143.4833003169988
49,0.01920441005524259,0.9933071774751904,0.6176301836967468,0.883564075257366,0.8846372336772426,5e-05,155.68288896100057
50,0.02135313865370806,0.9914608816062774,0.6755620837211609,0.8704295349662762,0.8719712473345288,5e-05,146.10578430199894
51,0.020989908000461615,0.992499423032541,0.6808198690414429,0.8789492367767128,0.8815074653809422,5e-05,153.74091527400014
52,0.021265099658623266,0.9922686360489268,0.7095463871955872,0.8739794107206248,0.8759753904439984,5e-05,142.3437913329999
53,0.028780155060109988,0.9890376182783291,0.6361135244369507,0.8771742988995385,0.8793273952661222,5e-05,154.1756937659993
54,0.018232334782640254,0.9931917839833834,0.6557367444038391,0.8753993610223643,0.877653811716578,5e-05,142.6890172580006
55,0.019952919806497542,0.9923840295407339,0.6788495779037476,0.8768193113241036,0.8788329516408678,5e-05,143.11179647899917
56,0.018957434475244367,0.9937687514424186,0.7267104983329773,0.8661696840610579,0.866930280716459,5e-05,141.19418755200059
57,0.01811775513559131,0.9936533579506116,0.7030742764472961,0.8622648207312744,0.8634321621444215,5e-05,141.71727136299887
