epoch,train_loss,train_accuracy,val_loss,val_macro_f1,learning_rate,seconds
1,0.3587447625754002,0.9543812104787714,0.24245886504650116,0.8874320236318943,0.0001,199.21219550000387
2,0.027546293151841685,0.9944670280036134,0.10286810994148254,0.9554159351534036,0.0001,133.0120833999972
3,0.024778090780828058,0.9954268292682927,0.24653810262680054,0.9068618637036394,0.0001,141.06504929999937
4,0.01372024661910997,0.996217253839205,0.26939657330513,0.8968748892868899,0.0001,127.64494889999332
5,0.009286128247010353,0.9977981029810298,0.08539992570877075,0.9531866341640703,0.0001,129.6878907000064
6,0.012104889416651566,0.9970076784101174,0.23874099552631378,0.8589185172496472,0.0001,153.54677529999753
7,0.008087164899897985,0.9977981029810298,0.19263608753681183,0.865775579239521,0.0001,222.77037080000446
8,0.016138960419739272,0.9961043360433605,0.17227691411972046,0.8877767504653379,0.0001,155.6129549000034
9,0.00992339795628645,0.9970641373080398,0.10332878679037094,0.9104921321970778,0.0001,191.2059070999967
10,0.009627717310712481,0.9975722673893406,0.06699703633785248,0.9544158183885179,0.0001,149.41153079998912
11,0.007246193362445366,0.9975722673893406,0.08076569437980652,0.8997382765714428,0.0001,123.48485470000014
12,0.007632516553354565,0.9978545618789522,0.058286938816308975,0.9463945225675102,0.0001,119.26553910000075
13,0.0029671095924110377,0.9993224932249323,0.014653910882771015,0.994585963301373,0.0001,127.20617119999952
14,0.005676086450226154,0.9986449864498645,0.06370866298675537,0.9523703611258131,0.0001,114.11312609999732
15,0.0038710371090575394,0.9986449864498645,0.052414339035749435,0.9845782982989534,0.0001,113.13092129999131
16,0.010978304482357074,0.997120596205962,0.07685764878988266,0.9279934916904574,0.0001,96.82081189999008
17,0.01627932737270991,0.996556007226739,0.11774121969938278,0.8977088400100879,0.0001,90.31801550000091
18,0.010182990748923215,0.9975158084914183,0.0824519619345665,0.8666778253686523,0.0001,92.32170149999729
19,0.008920269923212298,0.9980803974706414,0.055746763944625854,0.9264658187586816,5e-05,89.86111730000994
20,0.003553241612465401,0.9988143631436315,0.05612010508775711,0.9305538343373758,5e-05,90.10974099999294
21,0.002334780331495762,0.9994354110207768,0.0722140222787857,0.9079776806838092,5e-05,89.52691230000346
22,0.0012909798145078815,0.9995483288166215,0.08905111253261566,0.900454235179903,5e-05,153.85147080000024
23,0.0009403679563639502,0.9995483288166215,0.2105691134929657,0.8810828016306799,5e-05,133.18487019999884
24,0.0005613164917347985,0.9998306233062331,0.12758499383926392,0.8850815092238724,5e-05,130.7198325000063
25,0.002780336701557673,0.9992660343270099,0.11886384338140488,0.9007114469994956,2.5e-05,93.4839648000052
