epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate,seconds
1,0.03210727958632894,0.9908536585365854,0.044435229152441025,0.9794984750931888,0.943940806471932,0.0001,115.97825444099726
2,0.003456482618320279,0.9988143631436315,0.03531748428940773,0.9901728227719417,0.9809394504309759,0.0001,61.080739544995595
3,0.0020751408566304337,0.9992660343270099,0.17035794258117676,0.9573026092849881,0.9097126856686959,0.0001,91.21857972699217
4,0.00202997808210895,0.9994354110207768,0.06859392672777176,0.9747543205692986,0.9390144593289292,0.0001,64.29472985601751
5,0.004554962858813457,0.9987579042457091,0.12265973538160324,0.9686546933242969,0.9038342958550518,0.0001,77.0677751020412
6,0.0012123977602228131,0.9997177055103884,0.21514227986335754,0.9573026092849881,0.8583008980300106,0.0001,76.48528027598513
7,0.0022058330792614008,0.9993224932249323,0.059118956327438354,0.9745848864791596,0.9337681176982509,0.0001,76.14793506200658
8,0.0019263245548982284,0.9994918699186992,0.1817411631345749,0.9617078956286005,0.8802767069420868,5e-05,66.32132061099401
9,0.0017079276578751575,0.9994354110207768,0.2385532557964325,0.939173161640122,0.8765308091762205,5e-05,66.340147616982
10,0.0003263142225757416,0.9999435411020777,0.12162429839372635,0.96814639105388,0.926127371643961,5e-05,66.68463182001142
11,0.00017546289604638434,0.9999435411020777,0.13360820710659027,0.9713656387665198,0.9302771543654669,5e-05,65.37918831902789
12,9.582475056600873e-05,0.9999435411020777,0.1254553198814392,0.9720433751270756,0.931214757459351,5e-05,68.59657913900446
13,0.0006642448156399024,0.9998870822041553,0.11652405560016632,0.9705184683158251,0.9331482503810168,5e-05,64.69166597299045
14,0.0005838693386278609,0.9998870822041553,0.131669819355011,0.9601829888173501,0.8779913351969902,2.5e-05,64.3223850739887
